



Trustor	Trustee	Sign	RES	YEA
233	332	1	1	2013
234	332	1	1	2013
11	332	1	1	2013
43	332	1	1	2013
113	332	1	1	2013
235	332	1	1	2013
236	332	1	1	2013
237	332	1	1	2013
63	332	1	1	2013
238	332	1	1	2013
239	332	1	1	2013
31	332	1	1	2013
240	332	1	1	2013
241	332	1	1	2013
242	332	1	1	2013
53	332	1	1	2013
243	332	1	1	2013
244	332	1	1	2013
156	332	1	1	2013
245	332	1	1	2013
61	332	1	1	2013
246	332	1	1	2013
247	332	1	1	2013
248	332	1	1	2013
249	332	1	1	2013
206	332	1	1	2013
157	332	1	1	2013
250	332	1	1	2013
92	332	1	1	2013
251	332	1	1	2013
76	332	1	1	2013
42	332	1	1	2013
107	332	1	1	2013
252	332	1	1	2013
253	332	1	1	2013
70	332	1	1	2013
254	332	1	1	2013
54	332	1	1	2013
255	332	1	1	2013
256	332	1	1	2013
257	332	1	1	2013
258	332	1	1	2013
259	332	1	1	2013
260	332	1	1	2013
261	332	1	1	2013
262	332	1	1	2013
263	332	1	1	2013
264	332	1	1	2013
97	332	1	1	2013
265	332	1	1	2013
96	332	1	1	2013
266	332	1	1	2013
267	332	1	1	2013
152	332	1	1	2013
268	332	1	1	2013
269	332	1	1	2013
270	332	1	1	2013
271	332	1	1	2013
194	332	1	1	2013
272	332	1	1	2013
273	332	1	1	2013
274	332	1	1	2013
133	332	1	1	2013
58	332	1	1	2013
275	332	1	1	2013
276	332	1	1	2013
207	332	1	1	2013
46	332	1	1	2013
84	332	1	1	2013
148	332	1	1	2013
277	332	-1	1	2013
12	332	-1	1	2013
278	332	-1	1	2013
127	332	-1	1	2013
279	332	-1	1	2013
122	332	-1	1	2013
45	332	-1	1	2013
129	332	-1	1	2013
280	332	-1	1	2013
212	332	-1	1	2013
281	332	-1	1	2013
282	332	-1	1	2013
167	332	-1	1	2013
283	332	-1	1	2013
27	332	-1	1	2013
40	332	-1	1	2013
15	332	-1	1	2013
284	332	-1	1	2013
33	332	-1	1	2013
285	332	-1	1	2013
28	332	-1	1	2013
286	332	-1	1	2013
287	332	-1	1	2013
288	332	-1	1	2013
289	332	-1	1	2013
128	332	-1	1	2013
290	332	-1	1	2013
291	332	-1	1	2013
292	332	-1	1	2013
293	332	-1	1	2013
294	332	0	1	2013
295	332	0	1	2013
10	332	0	1	2013
104	332	0	1	2013
296	332	0	1	2013
91	332	0	1	2013
193	332	0	1	2013
297	332	0	1	2013
298	3	1	1	2013
244	3	1	1	2013
299	3	1	1	2013
133	3	1	1	2013
215	3	1	1	2013
230	3	1	1	2013
58	3	1	1	2013
52	3	1	1	2013
12	3	1	1	2013
150	3	1	1	2013
16	3	1	1	2013
134	3	1	1	2013
228	3	1	1	2013
300	3	1	1	2013
70	3	1	1	2013
45	3	1	1	2013
251	3	1	1	2013
264	3	1	1	2013
21	3	1	1	2013
192	3	1	1	2013
5	3	1	1	2013
301	3	1	1	2013
17	3	1	1	2013
10	3	1	1	2013
302	3	1	1	2013
303	3	1	1	2013
236	3	1	1	2013
53	3	1	1	2013
27	3	1	1	2013
304	3	1	1	2013
305	3	1	1	2013
155	3	1	1	2013
104	3	1	1	2013
205	3	1	1	2013
54	3	1	1	2013
141	3	1	1	2013
306	3	1	1	2013
173	3	1	1	2013
307	3	1	1	2013
308	3	1	1	2013
149	3	1	1	2013
309	3	1	1	2013
164	3	1	1	2013
11	3	1	1	2013
250	3	1	1	2013
310	3	1	1	2013
43	3	1	1	2013
103	3	1	1	2013
189	3	1	1	2013
76	3	1	1	2013
101	3	1	1	2013
156	3	1	1	2013
92	3	1	1	2013
19	3	1	1	2013
311	3	1	1	2013
312	3	1	1	2013
113	3	1	1	2013
68	3	1	1	2013
227	3	1	1	2013
313	3	1	1	2013
314	3	1	1	2013
148	3	1	1	2013
35	3	1	1	2013
51	3	1	1	2013
315	3	1	1	2013
67	3	1	1	2013
97	3	1	1	2013
206	3	1	1	2013
255	3	1	1	2013
288	3	1	1	2013
316	3	1	1	2013
221	3	1	1	2013
60	3	1	1	2013
111	3	1	1	2013
207	3	1	1	2013
57	3	1	1	2013
42	3	1	1	2013
253	3	1	1	2013
74	3	1	1	2013
263	3	1	1	2013
50	3	1	1	2013
200	3	1	1	2013
202	3	1	1	2013
15	3	1	1	2013
317	3	1	1	2013
181	3	1	1	2013
184	3	1	1	2013
318	3	1	1	2013
319	3	1	1	2013
320	3	1	1	2013
94	3	1	1	2013
266	3	1	1	2013
321	3	1	1	2013
262	3	1	1	2013
98	3	1	1	2013
123	3	1	1	2013
79	3	1	1	2013
187	3	1	1	2013
102	3	1	1	2013
322	3	1	1	2013
59	3	1	1	2013
279	3	-1	1	2013
212	3	-1	1	2013
6	3	-1	1	2013
323	3	-1	1	2013
324	3	-1	1	2013
325	3	-1	1	2013
28	3	-1	1	2013
201	3	-1	1	2013
9	3	0	1	2013
262	10417	1	1	2013
19	10417	1	1	2013
45	10417	1	1	2013
220	10417	1	1	2013
223	10417	1	1	2013
326	10417	1	1	2013
244	10417	1	1	2013
37	10417	1	1	2013
327	10417	1	1	2013
228	10417	1	1	2013
62	10417	1	1	2013
133	10417	1	1	2013
207	10417	1	1	2013
52	10417	1	1	2013
156	10417	1	1	2013
5	10417	1	1	2013
328	10417	1	1	2013
329	10417	1	1	2013
50	10417	1	1	2013
275	10417	1	1	2013
134	10417	1	1	2013
330	10417	1	1	2013
9	10417	1	1	2013
331	10417	1	1	2013
332	10417	1	1	2013
333	10417	1	1	2013
103	10417	1	1	2013
334	10417	1	1	2013
221	10417	1	1	2013
31	10417	1	1	2013
335	10417	1	1	2013
102	10417	1	1	2013
219	10417	1	1	2013
250	10417	1	1	2013
206	10417	1	1	2013
41	10417	1	1	2013
336	10417	1	1	2013
110	10417	1	1	2013
337	10417	1	1	2013
338	10417	1	1	2013
92	10417	1	1	2013
53	10417	1	1	2013
60	10417	1	1	2013
339	10417	1	1	2013
266	10417	1	1	2013
340	10417	1	1	2013
214	10417	1	1	2013
257	10417	1	1	2013
43	10417	1	1	2013
341	10417	1	1	2013
12	10417	1	1	2013
101	10417	1	1	2013
16	10417	1	1	2013
255	10417	1	1	2013
342	10417	1	1	2013
13	10417	1	1	2013
343	10417	1	1	2013
21	10417	1	1	2013
344	10417	1	1	2013
312	10417	1	1	2013
251	10417	1	1	2013
167	10417	1	1	2013
27	10417	1	1	2013
345	10417	1	1	2013
283	10417	1	1	2013
346	10417	1	1	2013
78	10417	1	1	2013
148	10417	1	1	2013
347	10417	1	1	2013
348	10417	1	1	2013
349	10417	1	1	2013
241	10417	1	1	2013
350	10417	1	1	2013
179	10417	1	1	2013
351	10417	1	1	2013
85	10417	1	1	2013
77	10417	1	1	2013
352	10417	1	1	2013
98	10417	1	1	2013
353	10417	1	1	2013
354	10417	1	1	2013
184	10417	1	1	2013
355	10417	1	1	2013
356	10417	1	1	2013
357	10417	1	1	2013
358	10417	1	1	2013
359	10417	1	1	2013
230	10417	1	1	2013
360	10417	1	1	2013
361	10417	1	1	2013
296	10417	1	1	2013
362	10417	1	1	2013
189	10417	1	1	2013
363	10417	1	1	2013
364	10417	1	1	2013
365	10417	1	1	2013
227	10417	1	1	2013
201	10417	1	1	2013
366	10417	1	1	2013
11	10417	1	1	2013
367	10417	1	1	2013
304	10417	1	1	2013
368	10417	1	1	2013
84	10417	1	1	2013
141	10417	1	1	2013
369	10417	1	1	2013
203	10417	1	1	2013
246	10417	1	1	2013
305	10417	1	1	2013
113	10417	1	1	2013
164	10417	1	1	2013
124	10417	1	1	2013
209	10417	1	1	2013
370	10417	1	1	2013
308	10417	1	1	2013
198	10417	1	1	2013
371	10417	1	1	2013
58	10417	1	1	2013
57	10417	1	1	2013
143	10417	1	1	2013
372	10417	1	1	2013
325	10417	1	1	2013
261	10417	1	1	2013
373	10417	1	1	2013
263	10417	1	1	2013
374	10417	1	1	2013
375	10417	1	1	2013
376	10417	1	1	2013
240	10417	1	1	2013
299	10417	1	1	2013
292	10417	1	1	2013
377	10417	1	1	2013
317	10417	1	1	2013
97	10417	1	1	2013
378	10417	1	1	2013
264	10417	1	1	2013
379	10417	1	1	2013
380	10417	1	1	2013
381	10417	-1	1	2013
54	10417	-1	1	2013
279	10417	-1	1	2013
382	10417	-1	1	2013
111	10417	-1	1	2013
163	10417	-1	1	2013
383	10417	-1	1	2013
112	10417	-1	1	2013
63	10417	-1	1	2013
3	10417	-1	1	2013
302	10417	-1	1	2013
10	10417	-1	1	2013
384	10417	-1	1	2013
135	10417	-1	1	2013
205	10417	-1	1	2013
385	10417	-1	1	2013
100	10417	-1	1	2013
40	10417	-1	1	2013
173	10417	-1	1	2013
158	10417	-1	1	2013
386	10417	-1	1	2013
387	10417	-1	1	2013
316	10417	-1	1	2013
123	10417	-1	1	2013
314	10417	-1	1	2013
215	10417	-1	1	2013
388	10417	-1	1	2013
212	10417	-1	1	2013
320	10417	-1	1	2013
389	10417	0	1	2013
216	10417	0	1	2013
185	10417	0	1	2013
15	10417	0	1	2013
104	10417	0	1	2013
213	10417	0	1	2013
390	10417	0	1	2013
107	10417	0	1	2013
287	10417	0	1	2013
94	10417	0	1	2013
391	10417	0	1	2013
391	10417	0	1	2013
236	10417	0	1	2013
35	10417	0	1	2013
392	10417	0	1	2013
193	10417	0	1	2013
393	331	1	1	2013
244	331	1	1	2013
43	331	1	1	2013
394	331	1	1	2013
296	331	1	1	2013
395	331	1	1	2013
205	331	1	1	2013
50	331	1	1	2013
188	331	1	1	2013
13	331	1	1	2013
396	331	1	1	2013
174	331	1	1	2013
16	331	1	1	2013
3	331	1	1	2013
53	331	1	1	2013
29	331	1	1	2013
76	331	1	1	2013
150	331	1	1	2013
133	331	1	1	2013
266	331	1	1	2013
146	331	1	1	2013
12	331	1	1	2013
112	331	1	1	2013
47	331	1	1	2013
137	331	1	1	2013
11	331	1	1	2013
397	331	1	1	2013
398	331	1	1	2013
45	331	1	1	2013
399	331	1	1	2013
156	331	1	1	2013
111	331	1	1	2013
8	331	1	1	2013
31	331	1	1	2013
40	331	1	1	2013
400	331	1	1	2013
401	331	1	1	2013
402	331	1	1	2013
403	331	1	1	2013
4	331	1	1	2013
140	331	1	1	2013
14	331	1	1	2013
42	331	1	1	2013
5	331	1	1	2013
52	331	1	1	2013
404	331	1	1	2013
100	331	1	1	2013
138	331	1	1	2013
10	331	1	1	2013
405	331	1	1	2013
364	331	1	1	2013
406	331	1	1	2013
407	331	1	1	2013
136	331	1	1	2013
220	331	1	1	2013
55	331	1	1	2013
408	331	1	1	2013
38	331	1	1	2013
409	331	1	1	2013
410	331	1	1	2013
237	331	1	1	2013
18	331	1	1	2013
27	331	1	1	2013
66	331	1	1	2013
19	331	1	1	2013
411	331	1	1	2013
412	331	1	1	2013
89	331	1	1	2013
201	331	1	1	2013
413	331	1	1	2013
351	331	1	1	2013
414	331	1	1	2013
415	331	1	1	2013
51	331	1	1	2013
144	331	1	1	2013
376	331	1	1	2013
22	331	1	1	2013
68	331	1	1	2013
416	331	1	1	2013
17	331	1	1	2013
391	331	1	1	2013
417	331	1	1	2013
418	331	1	1	2013
104	331	1	1	2013
109	331	1	1	2013
255	331	1	1	2013
419	331	1	1	2013
162	331	1	1	2013
32	331	1	1	2013
175	331	1	1	2013
103	331	1	1	2013
420	331	1	1	2013
41	331	1	1	2013
181	331	1	1	2013
125	331	1	1	2013
305	331	1	1	2013
166	331	1	1	2013
99	331	1	1	2013
280	331	1	1	2013
178	331	1	1	2013
134	331	1	1	2013
252	331	1	1	2013
421	331	1	1	2013
422	331	1	1	2013
28	331	1	1	2013
101	331	1	1	2013
191	331	1	1	2013
37	331	1	1	2013
6	331	1	1	2013
167	331	1	1	2013
423	331	1	1	2013
185	331	1	1	2013
335	331	1	1	2013
312	331	1	1	2013
194	331	1	1	2013
97	331	1	1	2013
221	331	1	1	2013
184	331	1	1	2013
15	331	1	1	2013
424	331	1	1	2013
94	331	1	1	2013
382	331	1	1	2013
425	331	1	1	2013
61	331	1	1	2013
207	331	1	1	2013
426	331	1	1	2013
25	331	1	1	2013
113	331	1	1	2013
427	331	1	1	2013
428	331	1	1	2013
92	331	1	1	2013
102	331	1	1	2013
429	331	1	1	2013
430	331	1	1	2013
431	331	1	1	2013
432	331	1	1	2013
330	331	1	1	2013
130	331	1	1	2013
433	331	1	1	2013
98	331	1	1	2013
434	331	1	1	2013
33	331	1	1	2013
54	331	1	1	2013
183	331	1	1	2013
435	331	1	1	2013
436	331	1	1	2013
437	331	1	1	2013
189	331	1	1	2013
438	331	1	1	2013
234	331	-1	1	2013
122	331	-1	1	2013
439	331	-1	1	2013
88	331	0	1	2013
212	331	0	1	2013
26	331	0	1	2013
117	331	0	1	2013
251	240	1	1	2013
16	240	1	1	2013
257	240	1	1	2013
404	240	1	1	2013
262	240	1	1	2013
223	240	1	1	2013
301	240	1	1	2013
15	240	1	1	2013
3	240	1	1	2013
227	240	1	1	2013
45	240	1	1	2013
134	240	1	1	2013
46	240	1	1	2013
133	240	1	1	2013
213	240	1	1	2013
440	240	1	1	2013
244	240	1	1	2013
362	240	1	1	2013
6	240	1	1	2013
49	240	1	1	2013
266	240	1	1	2013
441	240	1	1	2013
442	240	1	1	2013
443	240	1	1	2013
53	240	1	1	2013
150	240	1	1	2013
357	240	1	1	2013
141	240	1	1	2013
135	240	1	1	2013
254	240	1	1	2013
260	240	1	1	2013
444	240	1	1	2013
221	240	1	1	2013
445	240	1	1	2013
446	240	1	1	2013
399	240	1	1	2013
412	240	1	1	2013
411	240	1	1	2013
193	240	1	1	2013
447	240	1	1	2013
13	240	1	1	2013
331	240	1	1	2013
40	240	1	1	2013
54	240	1	1	2013
43	240	1	1	2013
241	240	1	1	2013
312	240	1	1	2013
33	240	1	1	2013
448	240	1	1	2013
287	240	1	1	2013
112	240	1	1	2013
449	240	1	1	2013
275	240	1	1	2013
9	240	1	1	2013
19	240	1	1	2013
206	240	1	1	2013
10	240	1	1	2013
296	240	1	1	2013
215	240	1	1	2013
94	240	1	1	2013
103	240	1	1	2013
58	240	1	1	2013
42	240	1	1	2013
450	240	1	1	2013
288	240	1	1	2013
228	240	1	1	2013
76	240	1	1	2013
210	240	1	1	2013
111	240	1	1	2013
355	240	1	1	2013
299	240	1	1	2013
451	240	1	1	2013
364	240	1	1	2013
181	240	1	1	2013
335	240	1	1	2013
220	240	1	1	2013
392	240	1	1	2013
97	240	1	1	2013
452	240	1	1	2013
114	240	1	1	2013
173	240	1	1	2013
207	240	1	1	2013
453	240	1	1	2013
164	240	1	1	2013
305	240	1	1	2013
14	240	1	1	2013
321	240	1	1	2013
393	240	1	1	2013
371	240	1	1	2013
124	240	1	1	2013
205	240	1	1	2013
454	240	1	1	2013
60	240	1	1	2013
102	240	1	1	2013
78	240	1	1	2013
212	240	1	1	2013
52	240	1	1	2013
351	240	1	1	2013
21	240	1	1	2013
65	240	1	1	2013
455	240	1	1	2013
85	240	1	1	2013
253	240	1	1	2013
11	240	1	1	2013
5	240	1	1	2013
298	240	1	1	2013
17	240	1	1	2013
149	240	1	1	2013
79	240	1	1	2013
406	240	1	1	2013
456	240	1	1	2013
457	240	1	1	2013
303	240	1	1	2013
458	240	1	1	2013
198	240	1	1	2013
459	240	1	1	2013
41	240	1	1	2013
460	240	1	1	2013
235	240	1	1	2013
385	240	1	1	2013
184	240	1	1	2013
461	240	1	1	2013
462	240	1	1	2013
34	240	1	1	2013
370	240	1	1	2013
317	240	1	1	2013
384	240	1	1	2013
332	240	1	1	2013
55	240	1	1	2013
263	240	1	1	2013
31	240	1	1	2013
374	240	1	1	2013
222	240	1	1	2013
463	240	1	1	2013
100	240	1	1	2013
104	240	1	1	2013
339	240	1	1	2013
92	240	1	1	2013
113	240	-1	1	2013
342	240	-1	1	2013
167	240	-1	1	2013
127	240	-1	1	2013
12	240	-1	1	2013
343	240	-1	1	2013
464	240	-1	1	2013
201	240	-1	1	2013
465	240	-1	1	2013
284	240	-1	1	2013
310	240	-1	1	2013
123	240	-1	1	2013
466	240	-1	1	2013
236	240	0	1	2013
129	240	0	1	2013
383	240	0	1	2013
467	6865	1	1	2013
468	6865	1	1	2013
76	6865	1	1	2013
469	6865	1	1	2013
14	6865	1	1	2013
148	6865	1	1	2013
11	6865	1	1	2013
470	6865	1	1	2013
66	6865	1	1	2013
471	6865	1	1	2013
163	6865	1	1	2013
140	6865	1	1	2013
45	6865	1	1	2013
50	6865	1	1	2013
244	6865	1	1	2013
55	6865	1	1	2013
147	6865	1	1	2013
123	6865	1	1	2013
472	6865	1	1	2013
53	6865	1	1	2013
362	6865	1	1	2013
162	6865	1	1	2013
134	6865	1	1	2013
111	6865	1	1	2013
16	6865	1	1	2013
62	6865	1	1	2013
473	6865	1	1	2013
12	6865	1	1	2013
212	6865	1	1	2013
27	6865	1	1	2013
448	6865	1	1	2013
19	6865	1	1	2013
46	6865	1	1	2013
474	6865	1	1	2013
156	6865	1	1	2013
82	6865	1	1	2013
107	6865	1	1	2013
24	6865	1	1	2013
47	6865	1	1	2013
193	6865	1	1	2013
205	6865	1	1	2013
42	6865	1	1	2013
54	6865	1	1	2013
100	6865	1	1	2013
29	6865	1	1	2013
173	6865	1	1	2013
194	6865	1	1	2013
31	6865	1	1	2013
475	6865	1	1	2013
9	6865	1	1	2013
59	6865	1	1	2013
206	6865	1	1	2013
52	6865	1	1	2013
26	6865	1	1	2013
144	6865	1	1	2013
207	6865	1	1	2013
251	6865	1	1	2013
10	6865	1	1	2013
387	6865	1	1	2013
312	6865	1	1	2013
137	6865	1	1	2013
5	6865	1	1	2013
476	6865	1	1	2013
101	6865	1	1	2013
78	6865	1	1	2013
227	6865	1	1	2013
361	6865	1	1	2013
36	6865	1	1	2013
158	6865	1	1	2013
15	6865	1	1	2013
143	6865	1	1	2013
477	6865	1	1	2013
478	6865	1	1	2013
479	6865	1	1	2013
480	6865	1	1	2013
58	6865	1	1	2013
411	6865	1	1	2013
79	6865	1	1	2013
97	6865	1	1	2013
444	6865	1	1	2013
167	6865	1	1	2013
481	6865	1	1	2013
195	6865	1	1	2013
246	6865	1	1	2013
74	6865	1	1	2013
169	6865	1	1	2013
183	6865	1	1	2013
94	6865	1	1	2013
482	6865	1	1	2013
483	6865	1	1	2013
98	6865	1	1	2013
22	6865	1	1	2013
484	6865	1	1	2013
68	6865	1	1	2013
38	6865	1	1	2013
485	6865	1	1	2013
221	6865	1	1	2013
373	6865	1	1	2013
486	6865	1	1	2013
374	6865	1	1	2013
92	6865	1	1	2013
146	6865	1	1	2013
201	6865	-1	1	2013
391	6865	-1	1	2013
133	6865	-1	1	2013
391	6865	-1	1	2013
125	6865	-1	1	2013
487	6865	-1	1	2013
166	6865	-1	1	2013
129	6865	-1	1	2013
4	6865	0	1	2013
488	6865	0	1	2013
113	6865	0	1	2013
104	6865	0	1	2013
16	5	1	1	2013
213	5	1	1	2013
379	5	1	1	2013
170	5	1	1	2013
321	5	1	1	2013
137	5	1	1	2013
357	5	1	1	2013
52	5	1	1	2013
489	5	1	1	2013
251	5	1	1	2013
17	5	1	1	2013
490	5	1	1	2013
230	5	1	1	2013
155	5	1	1	2013
184	5	1	1	2013
10	5	1	1	2013
53	5	1	1	2013
74	5	1	1	2013
320	5	1	1	2013
27	5	1	1	2013
58	5	1	1	2013
253	5	1	1	2013
113	5	1	1	2013
116	5	1	1	2013
152	5	1	1	2013
134	5	1	1	2013
315	5	1	1	2013
11	5	1	1	2013
79	5	1	1	2013
325	5	1	1	2013
264	5	1	1	2013
123	5	1	1	2013
35	5	1	1	2013
349	5	1	1	2013
86	5	1	1	2013
351	5	1	1	2013
19	5	1	1	2013
50	5	1	1	2013
491	5	1	1	2013
207	5	1	1	2013
63	5	1	1	2013
12	5	1	1	2013
42	5	1	1	2013
492	5	1	1	2013
21	5	1	1	2013
493	5	1	1	2013
3	5	1	1	2013
43	5	1	1	2013
228	5	1	1	2013
102	5	1	1	2013
413	5	1	1	2013
494	5	1	1	2013
258	5	1	1	2013
221	5	1	1	2013
40	5	1	1	2013
495	5	1	1	2013
9	5	1	1	2013
100	5	1	1	2013
103	5	1	1	2013
54	5	1	1	2013
496	5	1	1	2013
41	5	1	1	2013
156	5	1	1	2013
135	5	1	1	2013
76	5	1	1	2013
97	5	1	1	2013
215	5	1	1	2013
376	5	1	1	2013
227	5	1	1	2013
36	5	1	1	2013
497	5	1	1	2013
256	5	1	1	2013
37	5	1	1	2013
141	5	1	1	2013
498	5	1	1	2013
204	5	1	1	2013
101	5	1	1	2013
499	5	1	1	2013
104	5	1	1	2013
377	5	1	1	2013
200	5	1	1	2013
355	5	1	1	2013
